ὁ	ὁ, ἡ, τό	the 
βασιλεία	βασιλεία, -ας, ἡ	a kingdom
ἔθνος	ἔθνος, -ους, τό	a nation; Gentiles (plural)
ἕως	ἕως	until; as far as (gen)
τότε	τότε	then, at that time
πρῶτος	πρῶτος, -η, -ον	first
παῦλος	Παῦλος, -ου, ὁ	Paul
ἐσθίω	ἐσθίω	to eat
καρδία	καρδία, -ας, ἡ	the heart
πέτρος	Πέτρος, -ου, ὁ	Peter
ἄλλος	ἄλλος, -η, -ο	other, another
ἵστημι	ἵστημι	to cause to stand, stand
χάρις	χάρις, -ιτος, ἡ	grace
πορεύομαι	πορεύομαι	to go, proceed
φημί	φημί	to say
ὑπέρ	ὑπέρ	in behalf of (gen); above (acc)
καλέω	καλέω	to call, name invite
ἀγαπάω	ἀγαπάω	to love 
νῦν	νῦν	now
σάρξ	σάρξ, σαρκός, ἡ	flesh
ἐγείρω	ἐγείρω	to raise up
ὅστις	ὅστις, ἥτις, ὅτι	whoever, whichever, whatever
προφήτης	προφήτης, -ου, ὁ	a prophet
ἀφίημι	ἀφίημι	to let go, permit, forgive
οὐδέ	οὐδέ	and not, not even, neither, nor
λαός	λαός, -οῦ, ὁ	a people
σῶμα	σῶμα, -τος, τό	a body
πάλιν	πάλιν	again
ζάω	ζάω	to live
φωνή	φωνή, -ῆς, ἡ	a sound, voice
βλέπω	βλέπω	to see
δύο	δύο	two
ζωή	ζωή, -ῆς, ἡ	life
ἰωάννης	Ἰωάννης, -ου, ὁ	John
ἀποστέλλω	ἀποστέλλω	to send
ἀγαθός	ἀγαθός, -ή, -όν	good
νεκρός	νεκρός, -ά, -όν	dead
ἀμήν	ἀμήν	verily, truly, amen
σύν	σύν	with (dat)
δοῦλος	δοῦλος, -η, -ον	a slave
ὅταν	ὅταν	whenever
αἰών	αἰών, -ῶνος, ὁ	an age
ἀρχιερεύς	ἀρχιερεύς, -έως, ὁ	chief priest, high priest
βάλλω	βάλλω	to throw, put, cast
θάνατος	θάνατος, -ου, ὁ	death
μένω	μένω	to remain, abide
δύναμις	δύναμις, -εως, ἡ	power
παραδίδωμι	παραδίδωμι	to hand over, betray
κρίνω	κρίνω	to judge, decide
ἀπέρχομαι	ἀπέρχομαι	to depart, go away
ζητέω	ζητέω	to seek
μόνος	μόνος, -η, -ον	alone, only
ἀγάπη	ἀγάπη, -ης, ἡ	love
βασιλεύς	βασιλεύς, -έως, ὁ	a king
ἐκκλησία	ἐκκλησία, -ας, ἡ	assembly, congregation, church
ἴδιος	ἴδιος, -α, -ον	one's own
οἶκος	οἶκος, -ου, ὁ	a house, home
ἀποθνῄσκω	ἀποθνῄσκω	to die
ἀνίστημι	ἀνίστημι	to cause to arise, arise
ὅσος	ὅσος, -η, -ον	as great as, as many as
ἀλήθεια	ἀλήθεια, -ας, ἡ	truth
μέλλω	μέλλω	to be about to
ὅλος	ὅλος, -η, -ον	whole, all
παρακαλέω	παρακαλέω	to beseech, urge, exhort, comfort
σῴζω	σῴζω	to save
ὥρα	ὥρα, -ας, ἡ	an hour
ὅτε	ὅτε	when
πῶς	πῶς	how?
ψυχή	ψυχή, -ῆς, ἡ	soul, life, self
ἐξουσία	ἐξουσία, -ας, ἡ	authority
καλός	καλός, -ή, -όν	good
αἴρω	αἴρω	to take up, take away
δεῖ	δεῖ	it is necessary
ὁδός	ὁδός, -οῦ, ἡ	a way, road, journey
τέκνον	τέκνον, -ου, τό	a child
ἀλλήλων	ἀλλήλων, -ους, -ους	of one another
ὀφθαλμός	ὀφθαλμός, -οῦ, ὁ	an eye
τίθημι	τίθημι	to place
ἕτερος	ἕτερος, -α, -ον	other, another, different
φαρισαῖος	Φαρισαῖος, -ου, ὁ	Pharisee
αἷμα	αἷμα, -τος, τό	blood
ἄρτος	ἄρτος, -ου, ὁ	bread, a loaf
γεννάω	γεννάω	to beget
διδάσκω	διδάσκω	to teach
ἐκεῖ	ἐκεῖ	there
περιπατέω	περιπατέω	to walk
φοβέω	φοβέομαι	to fear
ἐνώπιον	ἐνώπιον	before (gen)
τόπος	τόπος, -ου, ὁ	a place
ἔτι	ἔτι	still, yet, even
οἰκία	οἰκία, -ας, ἡ	a house
πούς	πούς, ποδός, ὁ	a foot
δικαιοσύνη	δικαιοσύνη, -ης, ἡ	righteousness
εἰρήνη	εἰρήνη, -ης, ἡ	peace
θάλασσα	θάλασσα, -ης, ἡ	the sea
κάθημαι	κάθημαι	to sit
μηδείς	μηδείς, μηδεμία, μηδέν	no one
ἀκολουθέω	ἀκολουθέω	to follow
ἀπόλλυμι	ἀπόλλυμι	to destroy; to perish (middle)
πίπτω	πίπτω	to fall
ἑπτά	ἑπτά	seven
πονηρός	πονηρός, -ά, -όν	evil
οὔτε	οὔτε	neither, nor
ἄρχω	ἄρχω	to rule 
πληρόω	πληρόω	to fill, fulfill
προσέρχομαι	προσέρχομαι	to come to
καιρός	καιρός, -οῦ, ὁ	time, an appointed time
προσεύχομαι	προσεύχομαι	to pray
μήτηρ	μήτηρ, -τρος, ἡ	a mother
ὥστε	ὥστε	so that
ἀναβαίνω	ἀναβαίνω	to go up
ἕκαστος	ἕκαστος, -η, -ον	each
ὅπου	ὅπου	where, whither
στόμα	στόμα, -τος, τό	a mouth
ἐκβάλλω	ἐκβάλλω	to cast out
καταβαίνω	καταβαίνω	to go down
μᾶλλον	μᾶλλον	more, rather
ἀπόστολος	ἀπόστολος, -ου, ὁ	an Apostle
μωϋσῆς	Μωϋσῆς, -έως, ὁ	Moses
ἀνοίγω	ἀνοίγω	to open
δίκαιος	δίκαιος, -α, -ον	right, just, righteous
ἰερουσαλήμ	Ἱεροσόλυμα, τό	Jerousalem
πέμπω	πέμπω	to send
ὑπάγω	ὑπάγω	to depart
μαρτυρέω	μαρτυρέω	to bear witness, testify
πρόσωπον	πρόσωπον, -ου, τό	face, presence
ὕδωρ	ὕδωρ, ὕδατος, τό	water
βαπτίζω	βαπτίζω	to baptize
σημεῖον	σημεῖον, -ου, τό	a sign
εὐαγγέλιον	εὐαγγέλιον, -ου, -ν	good news, glad tidings, the Gospel
δώδεκα	δώδεκα	twelve
κεφαλή	κεφαλή, -ῆς, ἡ	head
σίμων	Σίμων, -ωνος, ὁ	Simon
ἀποκτείνω	ἀποκτείνω	to kill
ἐμός	ἐμός, -ή, -όν	my, mine
χαίρω	χαίρω	to rejoice
ἀβραάμ	Ἀβραάμ, ὁ	Abraham
αἰώνιος	αἰώνιος, -ον	eternal
πίνω	πίνω	to drink
φῶς	φῶς, -φωτός, τό	light
ἱερόν	ἱερόν, -οῦ, τό	a temple
πῦρ	πῦρ, -ός, τό	fire
αἰτέω	αἰτέω	to ask
τηρέω	τηρέω	to keep
ἄγω	ἄγω	to lead
τρεῖς	τρεῖς, -τρία	three
ἰσραήλ	Ἰσραήλ, ὁ	Israel
ῥῆμα	ῥῆμα, -τος, τό	a word
σάββατον	σάββατον, -ου, τό	the Sabbath
ἐντολή	ἐντολή, -ῆς, ἡ	a commandment
λοιπός	λοιπός, -ή, -όν	remaining, the rest (as a noun); for the rest, henceforth (as an adverb)
πιστός	πιστός, -ή, -όν	faithful, believing
πλοῖον	πλοῖον, -ου, τό	a boat
ἀπολύω	ἀπολύω	to release
καρπός	καρπός, -οῦ, ὁ	fruit
πρεσβύτερος	πρεσβύτερος, -α, -ον	elder
φέρω	φέρω	to carry, bear, bring, lead
εἴτε	εἴτε	if, whether
θεωρέω	θεωρέω	to look at, behold
γαλιλαία	Γαλιλαία, -ας, ἡ	Galilee
γραμματεύς	γραμματεύς, -έως, ὁ	a scribe
δαιμόνιον	δαιμόνιον, -ου, τό	a demon
ἔξω	ἔξω	without; outside (gen)
ἐρωτάω	ἐρωτάω	to ask, request, entreat
κακός	κακός, -ή, -όν	bad, evil
ὄρος	ὄρος, -ους, τό	a mountain
δοκέω	δοκέω	to think; seem
θέλημα	θέλημα, -τος, τό	will
θρόνος	θρόνος, -ου, ὁ	a throne
ἱεροσόλυμα	Ἱεροσόλυμα, τό	Jerusalem
μέσος	μέσος, -η, -ον	middle, in the midst
τρίτος	τρίτος, -η, -ον	third
ἀγαπητός	ἀγαπητός, -ή, -όν	beloved
δοξάζω	δοξάζω	to glorify
ἤδη	ἤδη	now, already
κηρύσσω	κηρύσσω	to proclaim, preach
νύξ	νύξ, -νυκτός, ἡ	night
ὧδε	ὧδε	here, hither
ἱμάτιον	ἱμάτιον, -ου, τό	a garment
προσκυνέω	προσκυνέω	to worship
ὑπάρχω	ὑπάρχω	to be, exist
ἀσπάζομαι	ἀσπάζομαι	to greet, salute
δαυίδ	Δαυίδ, ὁ	David
διδάσκαλος	διδάσκαλος, -ου, ὁ	a teacher
εὐθύς	εὐθύς, -εῖα, -ύ	straightway, immediately
λίθος	λίθος, -ου, ὁ	a stone
συνάγω	συνάγω	to gather together
χαρά	χαρά, -ᾶς, ἡ	joy, delight
τοιοῦτος	τοιοῦτος, -αύτη, -οῦτον	such
δέχομαι	δέχομαι	to receive
ἐπερωτάω	ἐπερωτάω	to ask, question, demand of
μηδέ	μηδέ	but not, nor, not even
συναγωγή	συναγωγή, -ῆς, ἡ	a synagogue
ἀρχή	ἀρχή, -ῆς, ἡ	a beginning
κράζω	κράζω	to cry out
πιλᾶτος	Πιλᾶτος, -ου, ὁ	Pilate
δεξιός	δεξιός, -ά, -όν	right
ἔσχατος	ἔσχατος, -η, -ον	last
εὐαγγελίζω	εὐαγγελίζω	to bring good news, preach good tidings
μαρία	Μαρία, -ας	Mary
οὐχί	οὐχί	not
σπείρω	σπείρω	to sow
χρόνος	χρόνος, -ου, ὁ	time
διό	διό	therefore, for this reason
ἐλπίς	ἐλπίς, -ίδος, ἡ	hope
ὅπως	ὅπως	how, that, in order that,
ἐπαγγελία	ἐπαγγελία, -ας, ἡ	a promise
ὀλίγος	ὀλίγος, -η, -ον	little, few
παιδίον	παιδίον, -ου, τό	an infant, child
πείθω	πείθω	to persuade
δεύτερος	δεύτερος, -α, -ον	second
σοφία	σοφία, -ας, ἡ	wisdom
γλῶσσα	γλῶσσα, -ης, ἡ	a tongue, language
γραφή	γραφή, -ῆς, ἡ	a writing, Scripture
μακάριος	μακάριος, -α, -ον	blessed, happy
παραβολή	παραβολή, -ῆς, ἡ	a parable
τυφλός	τυφλός, -ή, -όν	blind
ἄρα	ἄρα	then, therefore
ἄχρι	ἄχρι	as far as, up to (gen); until (as conjunction)
ἔτος	ἔτος, -ους, τό	a year
παραλαμβάνω	παραλαμβάνω	to receive, take
φανερόω	φανερόω	to manifest, make manifest, reveal
χρεία	χρεία, -ας, ἡ	a need
ἀποδίδωμι	ἀποδίδωμι	to give back, pay; to sell (middle)
ἔμπροσθεν	ἔμπροσθεν	in front of, before (gen)
ἔρημος	ἔρημος, -ου, ἡ	a desert, wilderness 
μικρός	μικρός, -ά, -όν	small, little
ποῦ	ποῦ	where? whither?
ἁμαρτωλός	ἁμαρτωλός, -όν	sinful; sinner (as a noun)
κρατέω	κρατέω	to grasp
κρίσις	κρίσις, -εως, ἡ	judgment
οὐκέτι	οὐκέτι	no longer
πρό	πρό	before (gen)
προσφέρω	προσφέρω	to bring to, offer
φόβος	φόβος, -ου, ὁ	fear, terror
φυλακή	φυλακή, -ῆς, ἡ	a guard, a prison, a watch
θηρίον	θηρίον, -ου, τό	a wild beast
καθίζω	καθίζω	to seat, sit
οὐαί	οὐαί	woe! alas!
σταυρόω	σταυρόω	to crucify
σωτηρία	σωτηρία, -ας, ἡ	salvation
ἀπαγγέλλω	ἀπαγγέλλω	to announce, report
διώκω	διώκω	to pursue, persecute
θλῖψις	θλῖψις, -εως, ἡ	tribulation
ναός	ναός, -οῦ, ὁ	a temple
ὅμοιος	ὅμοιος, -α, -ον	like
ἐπιγινώσκω	ἐπιγινώσκω	to come to know, recognize
ἰούδας	Ἰούδας, -α, ὁ	Judas, Judah
κατοικέω	κατοικέω	to inhabit, dwell
ἁμαρτάνω	ἁμαρτάνω	to sin
γενεά	γενεά, -ᾶς, ἡ	a generation
δέω	δέω	to bind
διέρχομαι	διέρχομαι	to pass through
ἡρῴδης	Ἡρῴδης, -ου, ὁ	Herod
θαυμάζω	θαυμάζω	to marvel, wonder at
θεραπεύω	θεραπεύω	to heal
ἰουδαία	Ἰουδαία, -ας, ἡ	Judea
σεαυτοῦ	σεαυτοῦ, -ῆς	of you
σπέρμα	σπέρμα, -τος, τό	a seed
φωνέω	φωνέω	to call
ἀνάστασις	ἀνάστασις, -εως, ἡ	resurrection
ἐγγίζω	ἐγγίζω	to come near
ἰάκωβος	Ἰάκωβος, -ου, ὁ	James
καινός	καινός, -ή, -όν	new
λύω	λύω	to loose
μέρος	μέρος, -ους, τό	a part
οἰκοδομέω	οἰκοδομέω	to build, edify
πάσχω	πάσχω	to suffer
ἄξιος	ἄξιος, -α, -ον	worthy
ἐπιτίθημι	ἐπιτίθημι	to lay upon
ἐργάζομαι	ἐργάζομαι	to work
εὐλογέω	εὐλογέω	to bless
πάντοτε	πάντοτε	always
παρίστημι	παρίστημι	to be present, stand by
σήμερον	σήμερον	today
τέσσαρες	τέσσαρες	four
τιμή	τιμή, -ῆς, ἡ	honor, price
χωρίς	χωρίς	without, apart from (gen)
ἑτοιμάζω	ἑτοιμάζω	to prepare
κλαίω	κλαίω	to weep
λογίζομαι	λογίζομαι	to account, reckon
μισέω	μισέω	to hate
μνημεῖον	μνημεῖον, -ου, τό	a tomb, monument
τέλος	τέλος, -ους, τό	end
ἅπτω	ἅπτω	to touch
δικαιόω	δικαιόω	to justify, pronounce righteous
θύρα	θύρα, -ας, ἡ	a door
ἱκανός	ἱκανός, -ή, -όν	sufficient, able, considerable
περισσεύω	περισσεύω	to abound, be rich
πλανάω	πλανάω	to lead astray
πράσσω	πράσσω	to do, perform
πρόβατον	πρόβατον, -ου, τό	a sheep
ἐπιθυμία	ἐπιθυμία, -ας, ἡ	eager desire, passion, lust
εὐχαριστέω	εὐχαριστέω	to give thanks
πειράζω	πειράζω	to test, tempt, attempt
πέντε	πέντε	five
ὑποτάσσω	ὑποτάσσω	to subject, put in subjection
ἄρχων	ἄρχων, -οντος, ὁ	a ruler
βούλομαι	βούλομαι	to wish, determine
διάβολος	διάβολος, -ου, ὁ	slanderer, accuser, the Devil
διακονέω	διακονέω	to wait upon, serve
ἐμαυτοῦ	ἐμαυτοῦ, -ῆς	of myself
καυχάομαι	καυχάομαι	to boast
μαρτυρία	μαρτυρία, -ας, ἡ	a testimony, evidence
παραγίνομαι	παραγίνομαι	to come, arrive
ἀγρός	ἀγρός, -οῦ, ὁ	a field
ἄρτι	ἄρτι	now, just now
ἐπιστρέφω	ἐπιστρέφω	to turn to, return
εὐθέως	εὐθέως	immediately
καλῶς	καλῶς	well
ὀργή	ὀργή, -ῆς, ἡ	wrath, anger
οὖς	οὖς, ὠτός, τό	an ear
περιτομή	περιτομή, -ῆς, ἡ	circumcision
προσευχή	προσευχή, -ῆς, ἡ	prayer
σατανᾶς	Σατανᾶς, -ᾶ, ὁ	Satan
φίλιππος	Φίλιππος, -ου, ὁ	Philip
ὥσπερ	ὥσπερ	just as, even as
ἰωσήφ	Ἰωσήφ, ὁ	Joseph
μάρτυς	μάρτυς, -υρος, ὁ	a witness
ὀπίσω	ὀπίσω	behind, after (gen)
ὀφείλω	ὀφείλω	to owe, ought
ὑποστρέφω	ὑποστρέφω	to return
ἅπας	ἅπας, -ασα, -αν	all
βιβλίον	βιβλίον, -ου, τό	a book
βλασφημέω	βλασφημέω	to revile, blaspheme
διακονία	διακονία, -ας, ἡ	waiting at table, service, ministry
ἔξειμι	ἔξειμι	to depart, leave
μέλος	μέλος, -ους, τό	a member
μετανοέω	μετανοέω	to repent
μήτε	μήτε	neither, nor
οἶνος	οἶνος, -ου, ὁ	wine
πτωχός	πτωχός, -ή, -όν	poor; poor man (as a noun)
ἀρνέομαι	ἀρνέομαι	to deny
ἀσθενέω	ἀσθενέω	to be weak, sick
δείκνυμι	δείκνυμι	to show
διαθήκη	διαθήκη, -ης, ἡ	a covenant
ἐγγύς	ἐγγύς	near
ἐκπορεύομαι	ἐκπορεύομαι	to go out
ναί	ναί	truly, yes
ποῖος	ποῖος, -α, -ον	what sort of? what?
φαίνω	φαίνω	to shine, appear
ἀκάθαρτος	ἀκάθαρτος, -ον	unclean
ἀναγινώσκω	ἀναγινώσκω	to read
δυνατός	δυνατός, -ή, -όν	powerful, possible
ἐχθρός	ἐχθρός, -ή, -όν	hating; enemy (as a noun)
ἥλιος	ἥλιος, -ου, ὁ	the sun
παραγγέλλω	παραγγέλλω	to command, charge
ὑπομονή	ὑπομονή, -ῆς, ἡ	steadfast endurance, perseverance
ἄνεμος	ἄνεμος, -ου, ὁ	a wind
ἐλπίζω	ἐλπίζω	to hope
ἱερεύς	ἱερεύς, -έως, ὁ	a priest
καθαρίζω	καθαρίζω	to cleanse
παρρησία	παρρησία, -ας, ἡ	boldness, confidence
πλῆθος	πλῆθος, -ους, τό	a multitude
πλήν	πλήν	however, but, only, nevertheless; except (gen)
ποτήριον	ποτήριον, -ου, τό	a cup
σκότος	σκότος, -ους, τό	darkness
φυλάσσω	φυλάσσω	to guard, keep
φυλή	φυλή, -ῆς, ἡ	a tribe
ἀγοράζω	ἀγοράζω	to buy
ἀρνίον	ἀρνίον, -ου, τό	a lamb
διδαχή	διδαχή, -ῆς, ἡ	teaching
ἐπικαλέω	ἐπικαλέω	to call, name; to invoke, appeal to (middle)
λιμός	λιμός, -οῦ, ὁ	hunger, famine
ὁμοίως	ὁμοίως	likewise
συνείδησις	συνείδησις, -εως, ἡ	conscience
συνέρχομαι	συνέρχομαι	to come together
γνῶσις	γνῶσις, -εως, ἡ	wisdom, knowledge
διάκονος	διάκονος, -ου, ὁ	a servant, administrator, deacon
ἐλεέω	ἐλεέω	to have mercy
ἐπιτιμάω	ἐπιτιμάω	to rebuke, warn
ἠλίας	Ἠλίας, -ου, ὁ	Elijah
ἰσχυρός	ἰσχυρός, -ά, -όν	strong
καῖσαρ	Καῖσαρ, -ος, ὁ	Caesar
μάχαιρα	μάχαιρα, -ης, ἡ	a sword
μισθός	μισθός, -οῦ, ὁ	wages, reward
παράκλησις	παράκλησις, -εως, ἡ	an exhortation, consolation, comfort
παρέρχομαι	παρέρχομαι	to pass by, pass away; to arrive
πάσχα	πάσχα, τό	passover (indeclinable)
πόθεν	πόθεν	whence?
ποτέ	ποτέ	at some time, once, ever, formerly
προσκαλέομαι	προσκαλέομαι	to summon, call to
σκανδαλίζω	σκανδαλίζω	to cause to stumble
φεύγω	φεύγω	to flee
φίλος	φίλος, -ου, ὁ	loving; a friend (as a noun)
ἁγιάζω	ἁγιάζω	to sanctify
ἀδικέω	ἀδικέω	to wrong, do wrong, harm
ἀληθινός	ἀληθινός, -ή, -όν	true
βαρναβᾶς	Βαρναβᾶς, -ᾶ, ὁ	Barnabas
γαμέω	γαμέω	to marry
ἡγέομαι	ἡγέομαι	to be chief; to think, regard, consider
ἥκω	ἥκω	to have come
θυγάτηρ	θυγάτηρ, -τρός, ἡ	a daughter
θυσία	θυσία, -ας, ἡ	a sacrifice
ἴδε	ἴδε	see! behold!
ἰσχύω	ἰσχύω	to be strong, able
μυστήριον	μυστήριον, -ου, τό	a mystery
νικάω	νικάω	to conquer
περισσός	περισσός, -ή, -όν	excessive, abundant
πλούσιος	πλούσιος, -α, -ον	rich
πνευματικός	πνευματικός, -ή, -όν	spiritual
προφητεύω	προφητεύω	to prophesy
τελέω	τελέω	to finish, fulfill
χώρα	χώρα, -ας, ἡ	a country
βαστάζω	βαστάζω	to bear, carry
δουλεύω	δουλεύω	to serve
ἐκεῖθεν	ἐκεῖθεν	there, thence, from that place
ἐκχέω	ἐκχέω	to pour out
ἔλεος	ἔλεος, -ους, τό	pity, mercy, compassion
ἐνδύω	ἐνδύω	to put on, clothe
ἰακώβ	Ἰακώβ, ὁ	Jacob
καθαρός	καθαρός, -ά, -όν	clean
καταργέω	καταργέω	to bring to naught, abolish
κρίμα	κρίμα, -τος, τό	judgment
κώμη	κώμη, -ης, ἡ	a village
πόσος	πόσος, -η, -ον	how great? how much?
σταυρός	σταυρός, -οῦ, ὁ	a cross
ἀδελφή	ἀδελφή, -ῆς, ἡ	a sister
ἀληθής	ἀληθής, -ές	true
ἀποκαλύπτω	ἀποκαλύπτω	to reveal
ἀσθενής	ἀσθενής, -ές	weak
γέ	γέ	indeed, at least, really, even
ἕνεκα	ἕνεκα	on account of, for the sake of (gen)
ἐπεί	ἐπεί	when, since
ἰάομαι	ἰάομαι	to heal
λυπέω	λυπέω	to grieve
ὄμνυμι	ὀμνύω	to swear, take an oath
ὁμολογέω	ὁμολογέω	to confess, profess
οὔπω	οὔπω	not yet
στρατιώτης	στρατιώτης, -ου, ὁ	a soldier
συνίημι	συνίημι	to understand
φρονέω	φρονέω	to think
χήρα	χήρα, -ας, ἡ	a widow
ἀδικία	ἀδικία, -ας, ἡ	unrighteousness
αἴγυπτος	Ἂἴγυπτος, -ου, ἡ	Egypt
ἀναβλέπω	ἀναβλέπω	to look up, receive sight
γνωρίζω	γνωρίζω	to make known
δέκα	δέκα	ten
δένδρον	δένδρον, -ου, τό	a tree
ἕλλην	{Ελλην, -ηνος, ὁ	a Greek
ἑορτή	ἑορτή, -ῆς, ἡ	a feast
κελεύω	κελεύω	to order
λευκός	λευκός, -ή, -όν	white
μανθάνω	μανθάνω	to learn
μήποτε	μήποτε	lest perchance
μνημονεύω	μνημονεύω	to remember
νεφέλη	νεφέλη, -ης, ἡ	a cloud
πορνεία	πορνεία, -ας, ἡ	fornication
στέφανος	στέφανος, -ου, ὁ	a crown
φιλέω	φιλέω	to love
ἀκοή	ἀκοή, -ῆς, ἡ	hearing; a report, news
ἀναιρέω	ἀναιρέω	to take up; to kill, put to death
ἀσθένεια	ἀσθένεια, -ας, ἡ	weakness
ἀστήρ	ἀστήρ, -έρος, ὁ	a star
ἐπιστολή	ἐπιστολή, -ῆς, ἡ	a letter
ζῆλος	ζῆλος, -ου, ὁ	zeal, jealousy
καταλείπω	καταλείπω	to leave
κεῖμαι	κεῖμαι	to lie, be laid
νέος	νέος, -α, -ον	new, young
νοῦς	νοῦς, -νοός, -νοΐ, -νοῦν, ὁ	the mind
παῖς	παῖς, -παιδός, ὁ, ἡ	a boy, girl, child, servant
πάρειμι	πάρειμι	to be present; to have arrived
παρουσία	παρουσία, -ας, ἡ	presence, coming
πίμπλημι	πίμπλημι	to fill
προσέχω	προσέχω	to attend to, give heed to
σός	σός, -σή, -σόν	your
σωτήρ	σωτήρ, -ῆρος, ὁ	Savior
τιμόθεος	Τιμόθεος, -ου, ὁ	Timothy
ἀμπελών	ἀμπελών, -ῶνος, ὁ	a vineyard
ἀνάγω	ἀνάγω	to lead up; to put to sea, set sail (middle)
ἄπιστος	ἄπιστος, -ον	unbelieving, faithless
αὐξάνω	αὐξάνω	to cause to grow; increase
διότι	διότι	because
εἰκών	εἰκών, -όνος, ἡ	an image, likeness
ἐλεύθερος	ἐλεύθερος, -α, -ον	free
ζῷον	ζῷον, -ου, τό	a living creature, an animal
θυσιαστήριον	θυσιαστήριον, -ου, τό	an altar
κατηγορέω	κατηγορέω	to accuse
